left_shoulder_x,right_shoulder_x,left_shoulder_z,right_shoulder_z
7.068813443183898926e-01,4.082290530204772949e-01,-1.265978068113327026e-01,-2.344188392162322998e-01
7.071610689163208008e-01,4.084429740905761719e-01,-2.059256434440612793e-01,-2.761364579200744629e-01
7.077798843383789062e-01,4.089789092540740967e-01,-2.178036272525787354e-01,-2.799474895000457764e-01
7.078703641891479492e-01,4.091119766235351562e-01,-2.158451527357101440e-01,-2.726978361606597900e-01
7.105406522750854492e-01,4.087279736995697021e-01,-2.368325889110565186e-01,-2.819644212722778320e-01
7.207959294319152832e-01,3.962562680244445801e-01,-2.787378132343292236e-01,-3.387868106365203857e-01
7.350274920463562012e-01,3.936820924282073975e-01,-3.681687414646148682e-01,-3.688020408153533936e-01
7.521122097969055176e-01,3.885109722614288330e-01,-4.152620136737823486e-01,-4.413413107395172119e-01
7.676887512207031250e-01,3.860006034374237061e-01,-5.321409702301025391e-01,-5.354253053665161133e-01
7.685213685035705566e-01,3.802434206008911133e-01,-4.813095629215240479e-01,-4.951492249965667725e-01
7.629521489143371582e-01,3.787454664707183838e-01,-4.037355780601501465e-01,-4.543655514717102051e-01
7.418856024742126465e-01,3.634637594223022461e-01,-3.618201315402984619e-01,-3.645961880683898926e-01
7.148649692535400391e-01,3.335394859313964844e-01,-4.117003977298736572e-01,-4.626032710075378418e-01
6.955778002738952637e-01,3.251417279243469238e-01,-4.300210177898406982e-01,-4.750452637672424316e-01
6.672762632369995117e-01,2.798471152782440186e-01,-5.025807619094848633e-01,-5.565471053123474121e-01
6.659564375877380371e-01,2.881022095680236816e-01,-4.911085665225982666e-01,-4.990867972373962402e-01
6.720052957534790039e-01,2.989026904106140137e-01,-4.912050366401672363e-01,-4.784422218799591064e-01
6.710342764854431152e-01,3.033849000930786133e-01,-4.626837670803070068e-01,-4.706459343433380127e-01
6.758000850677490234e-01,3.037671446800231934e-01,-4.941187798976898193e-01,-4.671888351440429688e-01
6.787539720535278320e-01,3.015912175178527832e-01,-4.896391332149505615e-01,-4.591445326805114746e-01
6.791989803314208984e-01,3.017977476119995117e-01,-4.786043465137481689e-01,-4.441785216331481934e-01
6.794624924659729004e-01,3.024266064167022705e-01,-5.355826616287231445e-01,-4.808219075202941895e-01
6.867702603340148926e-01,3.013562858104705811e-01,-5.212867259979248047e-01,-4.627695083618164062e-01
6.966804862022399902e-01,3.015079796314239502e-01,-5.321502685546875000e-01,-4.507683515548706055e-01
7.005096077919006348e-01,3.020425438880920410e-01,-5.436130166053771973e-01,-4.801542162895202637e-01
7.028979063034057617e-01,3.026322722434997559e-01,-5.622348785400390625e-01,-5.030989050865173340e-01
7.043949365615844727e-01,3.030070364475250244e-01,-5.678697228431701660e-01,-5.180774331092834473e-01
7.054798007011413574e-01,3.032255768775939941e-01,-5.532654523849487305e-01,-4.822186231613159180e-01
7.061011195182800293e-01,3.034893274307250977e-01,-5.399751663208007812e-01,-4.806794524192810059e-01
7.064840793609619141e-01,3.036854565143585205e-01,-5.362543463706970215e-01,-4.960875511169433594e-01
7.065436840057373047e-01,3.037425577640533447e-01,-5.218602418899536133e-01,-4.955427050590515137e-01
7.065203785896301270e-01,3.040758669376373291e-01,-4.956771135330200195e-01,-4.934296607971191406e-01
7.065041661262512207e-01,3.041311800479888916e-01,-5.165036916732788086e-01,-5.338484048843383789e-01
7.064915895462036133e-01,3.044911623001098633e-01,-5.162928700447082520e-01,-5.387876629829406738e-01
7.064079642295837402e-01,3.071456551551818848e-01,-4.948041141033172607e-01,-5.380614995956420898e-01
7.068806886672973633e-01,3.115416467189788818e-01,-4.960752427577972412e-01,-5.314956307411193848e-01
7.079141736030578613e-01,3.163088262081146240e-01,-4.969495236873626709e-01,-5.323477983474731445e-01
7.098239660263061523e-01,3.238220810890197754e-01,-4.876020550727844238e-01,-5.185394883155822754e-01
7.158941030502319336e-01,3.306621909141540527e-01,-5.006099343299865723e-01,-5.169580578804016113e-01
7.188259363174438477e-01,3.338934779167175293e-01,-5.006319284439086914e-01,-5.224644541740417480e-01
7.202880978584289551e-01,3.342920541763305664e-01,-5.027694702148437500e-01,-5.235634446144104004e-01
7.206326127052307129e-01,3.346062004566192627e-01,-5.264416337013244629e-01,-4.952439069747924805e-01
7.218354940414428711e-01,3.348902463912963867e-01,-5.328235626220703125e-01,-4.955749511718750000e-01
7.226392626762390137e-01,3.354851901531219482e-01,-5.448378324508666992e-01,-4.927879273891448975e-01
